0,xxxSNAMEyyy communication was sent in the month of May 2017 . -Manoj n/n,xxxSNAMEyyy communication was sent in the month of May 2017 . - Manoj,1,1
3974,"xxxSNAMEyyy not hold any bank account , she can get the cheque issued from spouse or from any family member . Cash is not accepted as ( 2/3","xxxSNAMEyyy not hold any bank account , she can get the cheque issued from spouse or from any family member . Cash is not accepted as ",1,1
3975,xxxSNAMEyyy The monthly average balance required to be maintained depends on the account classification as ( 1/3,xxxSNAMEyyy The monthly average balance required to be maintained depends on the account classification as ,1,1
3976,"xxxSNAMEyyy , You can get in touch with them through their Twitter handle xxxSNAMEyyy or their website xxxURLyyy .",xxxSNAMEyyy You can get in touch with them through their Twitter handle xxxSNAMEyyy or their website xxxURLyyy .,1,1
3977,xxxSNAMEyyy our officer . ( 3/3,xxxSNAMEyyy our officer . ,1,1
3978,xxxSNAMEyyy How to get this card ?,xxxSNAMEyyy How to get this card ?,1,1
3979,xxxSNAMEyyy its already EOD and m travelling out of pune tomorrow n wnt return until diwali . already the proces xxxURLyyy,xxxSNAMEyyy it is already end of the day and i am travelling out of Pune tomorrow and wont return until Diwali . already in the process xxxURLyyy,1,1
3980,"xxxSNAMEyyy Hi , we are concerned about your feedback . We have made a note of it and shared it with our technical team .","xxxSNAMEyyy Hi , we are concerned about your feedback . We have made a note of it and shared it with our technical team .",1,1
3981,"xxxSNAMEyyy where can i direct email to VISA to consult about dispute that i have with my issuer ? Direct email address please , not inquiry form","xxxSNAMEyyy where can i direct email to VISA to consult about dispute that i have with my issuer ? Direct email address please , not inquiry form",1,1
3982,xxxSNAMEyyy someone has fraudulently set up a paypal acc using my email amp ; has made payment . Who should I phone ? No help at general number .,xxxSNAMEyyy someone has fraudulently set up a Paypal account using my email and has made payment . Who should I phone ? No help at general number .,0,1
3983,xxxSNAMEyyy xxxSNAMEyyy Password bhi toh nahi likha application pe I hope,,1,-1
3984,xxxSNAMEyyy We request you to get in touch with your branch for assistance in this regard . You may also share your concern ( 1/3,xxxSNAMEyyy We request you to get in touch with your branch for assistance in this regard . You may also share your concern ,1,1
3985,xxxSNAMEyyy Yes I just want to close my account and leave . Without hassle !,xxxSNAMEyyy Yes I just want to close my account and leave . Without hassle !,0,1
3986,xxxSNAMEyyy Just got this msg . Can you pls get the branch to call me back . Tried calling but no one picks . xxxURLyyy,xxxSNAMEyyy Just got this message . Can you please get the branch to call me back . Tried calling but no one picks . xxxURLyyy,0,1
3987,"xxxSNAMEyyy Dear Saif , registration for internet banking may be completed online . Visit xxxURLyyy for a ( 1/2","xxxSNAMEyyy Dear Saif , registration for internet banking may be completed online . Visit xxxURLyyy for a ",1,1
3988,xxxSNAMEyyy worst online banking experience from u guys since 5 days,xxxSNAMEyyy worst online banking experience from you guys since 5 days,0,1
3989,xxxSNAMEyyy Does it usually take this long for the transaction to clear through ?,xxxSNAMEyyy Does it usually take this long for the transaction to clear through ?,0,1
3990,"xxxSNAMEyyy tx for reply , branch-Ambikapur in front of Polytechnic college , but i opened SB account at icici ban xxxURLyyy","xxxSNAMEyyy thanks for reply , branch - Ambikapur in front of Polytechnic college , but i opened SB account at Icici bank xxxURLyyy",2,1
3991,xxxSNAMEyyy I want proper solution that 's it,xxxSNAMEyyy I want proper solution that is it,0,1
3992,xxxSNAMEyyy We tried calling and left a message for you . Please DM us the best time to call you if you still need assistance . ^db,xxxSNAMEyyy We tried calling and left a message for you . Please directly message us the best time to call you if you still need assistance . ,1,1
3993,xxxSNAMEyyy when will i get justice !,xxxSNAMEyyy when will i get justice !,0,1
3994,xxxSNAMEyyy We respect your communication preferences . Please visit xxxURLyyy to opt out of email solicitations . ^mm,xxxSNAMEyyy We respect your communication preferences . Please visit xxxURLyyy to opt out of email solicitations .,1,1
3995,xxxSNAMEyyy Already opened a dispute with xxxSNAMEyyy . They said theyd sort it out with you since your phone support is unresponsive .,xxxSNAMEyyy Already opened a dispute with xxxSNAMEyyy . They said they would sort it out with you since your phone support is unresponsive .,1,1
3996,"xxxSNAMEyyy Why am I not able to download historical statement ? Website keeps saying , `` We apologize , but this facility is temporarily..","xxxSNAMEyyy Why am I not able to download historical statement ? Website keeps saying , ` We apologize , but this facility is temporarily . ,.",0,1
3997,"xxxSNAMEyyy Hi , I 'm unable to set up preapproved payments with any vendors . Please help .","xxxSNAMEyyy Hi , I am unable to set up pre approved payments with any vendors . Please help .",0,1
3998,xxxSNAMEyyy xxxSNAMEyyy what is the official support mail id ? ?,xxxSNAMEyyy xxxSNAMEyyy what is the official support mail id ?,1,1
3999,"xxxSNAMEyyy Hi , we assure you that our officials will connect and assist you .","xxxSNAMEyyy Hi , we assure you that our officials will connect and assist you .",1,1
4000,xxxSNAMEyyy alerts are scheduled alerts sent by the bank to ensure the timely update of the Aadhar number . Please ignore the same ( 2/3,xxxSNAMEyyy alerts are scheduled alerts sent by the bank to ensure the timely update of the Aadhar number. Please ignore the same,1,1
4001,xxxSNAMEyyy xxxSNAMEyyy everytime I finish an invoice and am about to send it the app doesnt let me and it doesnt let xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy everytime I finish an invoice and am about to send it the application does not let me and it does not let xxxURLyyy,0,1
4002,xxxSNAMEyyy select the option of profile password in case you do not need an OTP . You may visit the link xxxURLyyy for ( 2/3,xxxSNAMEyyy select the option of profile password in case you do not need an One Time Password . You may visit the link xxxURLyyy for,1,1
4003,xxxSNAMEyyy In my wife sb a|c ushaharikumar at Walajah Road chennai br . excess amt debited toward her locker ac xxxURLyyy,xxxSNAMEyyy In my wife state bank account ushaharikumar at Walajah Road chennai branch excess amount debited toward her locker account xxxURLyyy,1,1
4004,xxxSNAMEyyy twitterxxxSNAMEyyy.co.in . Also mention your Case ID2598782 and Twitter handle in the subject line . We will look into the ( 2/3,xxxSNAMEyyy twitterxxxSNAMEyyy.co.in . Also mention your Case ID2598782 and Twitter handle in the subject line . We will look into the,1,1
4005,xxxSNAMEyyy why is it still pending on my account after 2 days ?,xxxSNAMEyyy why is it still pending on my account after 2 days ?,1,1
4006,"xxxSNAMEyyy We 're sorry to hear about this recent experience . If you can DM your email address and the details , ou xxxURLyyy","xxxSNAMEyyy We are sorry to hear about this recent experience . If you can direct message your email address and the details , ou xxxURLyyy",1,1
4007,xxxSNAMEyyy xxxSNAMEyyy one more scamster number for aadhar and PIN number of card +91 72788 70566 please take action,xxxSNAMEyyy xxxSNAMEyyy one more scamster number for aadhar and PIN number of card +91 72788 70566 please take action,1,1
4008,"xxxSNAMEyyy Hey there , please send us a DM for further assistance with this payment . We 're happy to help . ^CG","xxxSNAMEyyy Hey there , please send us a direct message for further assistance with this payment . We are happy to help .",1,1
4009,xxxSNAMEyyy check,xxxSNAMEyyy check,1,1
4010,"xxxSNAMEyyy Hi , we request you to refer to the following link : xxxURLyyy , to know the options to download the statement . ( 1/2","xxxSNAMEyyy Hi , we request you to refer to the following link: xxxURLyyy , to know the options to download the statement.",1,1
4011,xxxSNAMEyyy Cant pay since morning all CPINs rejected in case of SBI but other banks working fine xxxURLyyy,xxxSNAMEyyy Can not pay since morning all CPINs rejected in case of SBI but other banks working fine xxxURLyyy,0,1
4012,"xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy But due to sbi ecs clear late and found bounce , and result I ca n't transfer my pesonal loan","xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy But due to SBI electronic clearing service clear late and found bounce , and result I can not transfer my pesonal loan",0,1
4013,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy This is LOAN,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy This is loan,1,1
4014,"xxxSNAMEyyy Hi , please call us at 18604195555 amp ; 18605005555 for us to assist you in this regard .","xxxSNAMEyyy Hi , please call us at 18604195555 and 18605005555 for us to assist you in this regard .",1,1
4015,"xxxSNAMEyyy Hello ! So sorry to hear that . Do you need assistance with your PayPal account ? If so , please send us a DM . ^GR","xxxSNAMEyyy Hello ! So sorry to hear that . Do you need assistance with your PayPal account ? If so , please send us a direct message .",1,1
4016,xxxSNAMEyyy I can rate your application the worst among all the banks I have been with .,xxxSNAMEyyy I can rate your application the worst among all the banks I have been with .,0,1
4017,xxxSNAMEyyy on talktousxxxSNAMEyyy.com . Mention this Ref No . TW1410171021 in the subject of your mail so it 'll help us track your ( 2/3,xxxSNAMEyyy on talktousxxxSNAMEyyy.com . Mention this Reference Number TW1410171021 in the subject of your mail so it will help us track your,1,1
4018,xxxSNAMEyyy B - Diwali Give some appreciation prize atlst,xxxSNAMEyyy B - Diwali Give some appreciation prize atleast,1,1
4019,xxxSNAMEyyy why is NEFT transfer not working ?,xxxSNAMEyyy why is NEFT transfer not working ?,0,1
4020,xxxSNAMEyyy Tnq so much sir,xxxSNAMEyyy Thank you so much sir,2,1
4021,xxxSNAMEyyy reviewed as appropriate . You may look forward to receive a response to your e-mail id in 3 working days . -2/n,xxxSNAMEyyy reviewed as appropriate . You may look forward to receive a response to your e-mail id in 3 working days .,1,1
4022,xxxSNAMEyyy xxxURLyyy under category Advances . We will be happy to assist you . ( 2/2,xxxSNAMEyyy xxxURLyyy under category Advances . We will be happy to assist you .,1,1
4023,xxxSNAMEyyy will take up the matter with the concerned . ( 4/4,xxxSNAMEyyy will take up the matter with the concerned .,1,1
4024,"xxxSNAMEyyy Hi Ravikant , as mentioned earlier please click on xxxURLyyy to DM the complete address of the ( 1/3","xxxSNAMEyyy Hi Ravikant , as mentioned earlier please click on xxxURLyyy to direct message the complete address of the",1,1
4025,"xxxSNAMEyyy Hi , we have made a note of your concern . We will get back to you .","xxxSNAMEyyy Hi , we have made a note of your concern . We will get back to you .",1,1
4026,xxxSNAMEyyy why v r been charged for new cheque books because of merger of ur associate banks ? this is clear case of corruption !,xxxSNAMEyyy why we are been charged for new cheque books because of merger of your associate banks ? this is clear case of corruption !,0,1
4027,"xxxSNAMEyyy Hi , we understand that our official has spoken to you . We request you to wait till required TAT .","xxxSNAMEyyy Hi , we understand that our official has spoken to you . We request you to wait till required turn around time .",1,1
4028,xxxSNAMEyyy mail sent on 3rd oct 2017 reply not yet received,xxxSNAMEyyy mail sent on 03/10/2017 reply not yet received,0,1
4029,"xxxSNAMEyyy Hello , Rob . We apologize for the frustration this situation has caused for you ! If you can send us a D xxxURLyyy","xxxSNAMEyyy Hello , Rob . We apologize for the frustration this situation has caused for you ! If you can send us a D xxxURLyyy",1,1
4030,"xxxSNAMEyyy If u want that person contact name amp ; details who is spoiling HDFC brand amp ; credibility , can share it with u ...","xxxSNAMEyyy If you want that person contact name and details who is spoiling HDFC brand and credibility , can share it with you .",1,1
4031,xxxSNAMEyyy Visit the link xxxURLyyy for details regarding your query .,xxxSNAMEyyy Visit the link xxxURLyyy for details regarding your query .,1,1
4032,xxxSNAMEyyy what is the cancellation charges of DD of Rs500,xxxSNAMEyyy what is the cancellation charges of Demand Draft of Rupees 500,1,1
4033,"xxxSNAMEyyy Hi Basant , We acknowledge the receipt of your e-mail with reference number 444-168-535 . You may look forward 1/n","xxxSNAMEyyy Hi Basant , We acknowledge the receipt of your e-mail with reference number 444-168-535 . You may look forward",1,1
4034,xxxSNAMEyyy It 's been a week now . I 'm forfeiting my Axis Bank account first thing tomorrow morning . Stay arrogant and inconsiderate .,xxxSNAMEyyy It has been a week now . I am forfeiting my Axis Bank account first thing tomorrow morning . Stay arrogant and inconsiderate .,0,1
4035,xxxSNAMEyyy Thanks for the follow up . Please let me know if help is ever needed in the future . ^sn,xxxSNAMEyyy Thanks for the follow up . Please let me know if help is ever needed in the future .,1,1
4036,xxxSNAMEyyy details will remain confidential . -Anay ( 3/3,xxxSNAMEyyy details will remain confidential . - Anay,1,1
4037,xxxSNAMEyyy Then whats the point in having net banking facility ? Have successfully booked in the past . Whats the issue now ?,xxxSNAMEyyy Then what is the point in having net banking facility ? Have successfully booked in the past . What is the issue now ?,0,1
4038,xxxSNAMEyyy Pls refund rs.295 deducted on dated 14.99for failed txn my ac 35598542421,xxxSNAMEyyy Please refund Rupees 295 deducted on dated 01/04/1999 for failed transaction my account 35598542421,1,1
4039,xxxSNAMEyyy xxxSNAMEyyy I have moved to ICICI Bank who disturbs me less,xxxSNAMEyyy xxxSNAMEyyy I have moved to ICICI Bank who disturbs me less,0,1
4040,"xxxSNAMEyyy nope . i just wan na cash checks from you , by you for free","xxxSNAMEyyy nope . I just want to cash checks from you , by you for free",1,1
4041,"xxxSNAMEyyy details , account number and relevant screenshot ( s ) of the error message with us via email at twitterxxxSNAMEyyy.co.in . Please ( 4/5","xxxSNAMEyyy details , account number and relevant screenshot(s) of the error message with us via email at twitterxxxSNAMEyyy.co.in . Please",1,1
4042,"xxxSNAMEyyy You can not reset your Internet Banking password through the app , however , you can use either Internet Banking on ( 1/2","xxxSNAMEyyy You can not reset your Internet Banking password through the application , however ,  you can use either Internet Banking on",1,1
